,Date,RVXCLS
335,2005-04-15,21.74
336,2005-04-18,22.5
337,2005-04-19,20.66
338,2005-04-20,21.32
339,2005-04-21,19.62
340,2005-04-22,20.11
341,2005-04-25,19.52
342,2005-04-26,19.85
343,2005-04-27,20.71
344,2005-04-28,21.85
345,2005-04-29,21.85
346,2005-05-02,21.51
347,2005-05-03,21.6
348,2005-05-04,19.99
349,2005-05-05,19.71
350,2005-05-06,18.6
351,2005-05-09,18.63
352,2005-05-10,19.59
353,2005-05-11,19.68
354,2005-05-12,20.38
355,2005-05-13,21.1
356,2005-05-16,21.16
357,2005-05-17,20.02
358,2005-05-18,18.37
359,2005-05-19,18.64
360,2005-05-20,18.14
361,2005-05-23,17.92
362,2005-05-24,17.77
363,2005-05-25,18.18
364,2005-05-26,17.41
365,2005-05-27,17.26
366,2005-05-30,
367,2005-05-31,18.31
368,2005-06-01,17.54
369,2005-06-02,17.19
370,2005-06-03,17.1
371,2005-06-06,17.49
372,2005-06-07,17.13
373,2005-06-08,17.69
374,2005-06-09,17.08
375,2005-06-10,16.96
376,2005-06-13,17.07
377,2005-06-14,17.01
378,2005-06-15,17.23
379,2005-06-16,16.96
380,2005-06-17,17.16
381,2005-06-20,17.65
382,2005-06-21,17.05
383,2005-06-22,16.63
384,2005-06-23,17.41
385,2005-06-24,17.62
386,2005-06-27,17.75
387,2005-06-28,16.66
388,2005-06-29,16.49
389,2005-06-30,16.7
390,2005-07-01,16.21
391,2005-07-04,
392,2005-07-05,16.28
393,2005-07-06,17.0
394,2005-07-07,17.38
395,2005-07-08,16.64
396,2005-07-11,16.52
397,2005-07-12,17.67
398,2005-07-13,17.13
399,2005-07-14,17.64
400,2005-07-15,16.97
401,2005-07-18,17.62
402,2005-07-19,16.55
403,2005-07-20,16.2
404,2005-07-21,18.22
405,2005-07-22,17.2
406,2005-07-25,18.86
407,2005-07-26,18.42
408,2005-07-27,18.17
409,2005-07-28,17.69
410,2005-07-29,18.62
411,2005-08-01,19.24
412,2005-08-02,18.54
413,2005-08-03,19.23
414,2005-08-04,20.66
415,2005-08-05,21.09
416,2005-08-08,22.17
417,2005-08-09,21.29
418,2005-08-10,21.6
419,2005-08-11,20.34
420,2005-08-12,20.99
421,2005-08-15,20.44
422,2005-08-16,21.51
423,2005-08-17,21.19
424,2005-08-18,21.28
425,2005-08-19,20.18
426,2005-08-22,20.18
427,2005-08-23,19.78
428,2005-08-24,19.75
429,2005-08-25,19.36
430,2005-08-26,19.68
431,2005-08-29,19.3
432,2005-08-30,19.57
433,2005-08-31,18.87
434,2005-09-01,18.86
435,2005-09-02,19.16
436,2005-09-05,
437,2005-09-06,19.14
438,2005-09-07,18.85
439,2005-09-08,19.11
440,2005-09-09,18.51
441,2005-09-12,19.38
442,2005-09-13,19.38
443,2005-09-14,20.12
444,2005-09-15,19.5
445,2005-09-16,18.1
446,2005-09-19,18.43
447,2005-09-20,19.14
448,2005-09-21,20.14
449,2005-09-22,19.3
450,2005-09-23,18.55
451,2005-09-26,18.71
452,2005-09-27,18.44
453,2005-09-28,18.63
454,2005-09-29,17.82
455,2005-09-30,17.73
456,2005-10-03,18.07
457,2005-10-04,18.93
458,2005-10-05,21.32
459,2005-10-06,21.94
460,2005-10-07,21.54
461,2005-10-10,
462,2005-10-11,23.2
463,2005-10-12,24.94
464,2005-10-13,24.51
465,2005-10-14,22.87
466,2005-10-17,22.79
467,2005-10-18,23.25
468,2005-10-19,22.74
469,2005-10-20,23.79
470,2005-10-21,23.78
471,2005-10-24,22.67
472,2005-10-25,22.56
473,2005-10-26,22.67
474,2005-10-27,23.81
475,2005-10-28,23.07
476,2005-10-31,23.7
477,2005-11-01,23.75
478,2005-11-02,22.55
479,2005-11-03,21.86
480,2005-11-04,21.81
481,2005-11-07,21.72
482,2005-11-08,21.39
483,2005-11-09,21.14
484,2005-11-10,20.29
485,2005-11-11,
486,2005-11-14,19.59
487,2005-11-15,20.08
488,2005-11-16,20.22
489,2005-11-17,18.51
490,2005-11-18,18.18
491,2005-11-21,17.77
492,2005-11-22,17.18
493,2005-11-23,17.05
494,2005-11-24,
495,2005-11-25,17.27
496,2005-11-28,18.92
497,2005-11-29,18.6
498,2005-11-30,18.31
499,2005-12-01,17.1
500,2005-12-02,17.1
501,2005-12-05,17.85
502,2005-12-06,17.73
503,2005-12-07,18.31
504,2005-12-08,17.96
505,2005-12-09,17.41
506,2005-12-12,17.1
507,2005-12-13,17.27
508,2005-12-14,17.16
509,2005-12-15,17.91
510,2005-12-16,17.4
511,2005-12-19,18.67
512,2005-12-20,18.27
513,2005-12-21,17.56
514,2005-12-22,16.96
515,2005-12-23,16.43
516,2005-12-26,
517,2005-12-27,18.6
518,2005-12-28,18.67
519,2005-12-29,18.83
520,2005-12-30,18.72
521,2006-01-02,
522,2006-01-03,18.84
523,2006-01-04,18.49
524,2006-01-05,17.99
525,2006-01-06,17.26
526,2006-01-09,16.92
527,2006-01-10,16.63
528,2006-01-11,16.96
529,2006-01-12,18.1
530,2006-01-13,18.11
531,2006-01-16,
532,2006-01-17,19.03
533,2006-01-18,18.98
534,2006-01-19,17.84
535,2006-01-20,19.37
536,2006-01-23,19.51
537,2006-01-24,17.84
538,2006-01-25,17.9
539,2006-01-26,17.01
540,2006-01-27,17.71
541,2006-01-30,18.52
542,2006-01-31,18.38
543,2006-02-01,18.25
544,2006-02-02,19.43
545,2006-02-03,19.6
546,2006-02-06,19.67
547,2006-02-07,20.42
548,2006-02-08,19.91
549,2006-02-09,20.56
550,2006-02-10,20.05
551,2006-02-13,21.43
552,2006-02-14,20.17
553,2006-02-15,19.71
554,2006-02-16,18.49
555,2006-02-17,17.5
556,2006-02-20,
557,2006-02-21,18.43
558,2006-02-22,17.67
559,2006-02-23,17.7
560,2006-02-24,16.76
561,2006-02-27,16.84
562,2006-02-28,17.92
563,2006-03-01,16.77
564,2006-03-02,17.58
565,2006-03-03,17.77
566,2006-03-06,19.11
567,2006-03-07,19.73
568,2006-03-08,20.32
569,2006-03-09,20.25
570,2006-03-10,19.25
571,2006-03-13,19.0
572,2006-03-14,17.39
573,2006-03-15,16.6
574,2006-03-16,16.88
575,2006-03-17,17.03
576,2006-03-20,17.64
577,2006-03-21,18.3
578,2006-03-22,17.04
579,2006-03-23,17.18
580,2006-03-24,16.23
581,2006-03-27,17.09
582,2006-03-28,17.72
583,2006-03-29,16.33
584,2006-03-30,17.21
585,2006-03-31,16.99
586,2006-04-03,18.27
587,2006-04-04,18.21
588,2006-04-05,17.78
589,2006-04-06,17.71
590,2006-04-07,18.38
591,2006-04-10,19.24
592,2006-04-11,19.66
593,2006-04-12,18.78
594,2006-04-13,18.41
595,2006-04-14,
596,2006-04-17,19.38
597,2006-04-18,17.65
598,2006-04-19,18.03
599,2006-04-20,18.7
600,2006-04-21,18.84
601,2006-04-24,19.28
602,2006-04-25,19.0
603,2006-04-26,18.71
604,2006-04-27,19.23
605,2006-04-28,18.58
606,2006-05-01,19.26
607,2006-05-02,18.77
608,2006-05-03,18.28
609,2006-05-04,17.59
610,2006-05-05,16.99
611,2006-05-08,17.37
612,2006-05-09,17.46
613,2006-05-10,17.93
614,2006-05-11,19.05
615,2006-05-12,21.08
616,2006-05-15,21.99
617,2006-05-16,21.28
618,2006-05-17,22.88
619,2006-05-18,24.55
620,2006-05-19,24.25
621,2006-05-22,26.07
622,2006-05-23,25.17
623,2006-05-24,25.87
624,2006-05-25,21.97
625,2006-05-26,21.1
626,2006-05-29,
627,2006-05-30,25.46
628,2006-05-31,23.57
629,2006-06-01,21.22
630,2006-06-02,21.08
631,2006-06-05,24.59
632,2006-06-06,24.86
633,2006-06-07,25.39
634,2006-06-08,27.39
635,2006-06-09,27.13
636,2006-06-12,32.63
637,2006-06-13,34.02
638,2006-06-14,30.19
639,2006-06-15,25.48
640,2006-06-16,26.13
641,2006-06-19,27.23
642,2006-06-20,26.42
643,2006-06-21,23.98
644,2006-06-22,24.48
645,2006-06-23,23.81
646,2006-06-26,24.05
647,2006-06-27,25.56
648,2006-06-28,25.78
649,2006-06-29,22.4
650,2006-06-30,22.29
651,2006-07-03,22.1
652,2006-07-04,
653,2006-07-05,23.75
654,2006-07-06,23.31
655,2006-07-07,24.06
656,2006-07-10,24.65
657,2006-07-11,23.55
658,2006-07-12,25.56
659,2006-07-13,28.1
660,2006-07-14,28.07
661,2006-07-17,28.53
662,2006-07-18,27.45
663,2006-07-19,25.51
664,2006-07-20,27.4
665,2006-07-21,28.44
666,2006-07-24,25.81
667,2006-07-25,26.12
668,2006-07-26,25.92
669,2006-07-27,26.67
670,2006-07-28,25.08
671,2006-07-31,25.27
672,2006-08-01,26.0
673,2006-08-02,25.5
674,2006-08-03,25.04
675,2006-08-04,26.16
676,2006-08-07,27.28
677,2006-08-08,27.1
678,2006-08-09,27.01
679,2006-08-10,25.78
680,2006-08-11,25.5
681,2006-08-14,24.99
682,2006-08-15,23.68
683,2006-08-16,22.37
684,2006-08-17,22.21
685,2006-08-18,21.9
686,2006-08-21,22.59
687,2006-08-22,22.18
688,2006-08-23,22.5
689,2006-08-24,21.93
690,2006-08-25,21.54
691,2006-08-28,21.29
692,2006-08-29,20.48
693,2006-08-30,20.33
694,2006-08-31,20.46
695,2006-09-01,20.82
696,2006-09-04,
697,2006-09-05,20.98
698,2006-09-06,23.1
699,2006-09-07,23.64
700,2006-09-08,22.69
701,2006-09-11,21.94
702,2006-09-12,19.93
703,2006-09-13,20.15
704,2006-09-14,20.81
705,2006-09-15,20.48
706,2006-09-18,20.73
707,2006-09-19,21.34
708,2006-09-20,20.37
709,2006-09-21,21.49
710,2006-09-22,22.27
711,2006-09-25,21.45
712,2006-09-26,21.44
713,2006-09-27,21.16
714,2006-09-28,21.37
715,2006-09-29,22.31
716,2006-10-02,23.55
717,2006-10-03,23.06
718,2006-10-04,21.77
719,2006-10-05,20.79
720,2006-10-06,21.01
721,2006-10-09,20.47
722,2006-10-10,20.53
723,2006-10-11,20.7
724,2006-10-12,19.38
725,2006-10-13,19.3
726,2006-10-16,20.5
727,2006-10-17,20.98
728,2006-10-18,20.86
729,2006-10-19,20.15
730,2006-10-20,18.94
731,2006-10-23,19.37
732,2006-10-24,18.85
733,2006-10-25,18.4
734,2006-10-26,17.83
735,2006-10-27,18.77
736,2006-10-30,19.04
737,2006-10-31,18.75
738,2006-11-01,19.95
739,2006-11-02,19.66
740,2006-11-03,19.02
741,2006-11-06,18.84
742,2006-11-07,18.61
743,2006-11-08,18.12
744,2006-11-09,18.45
745,2006-11-10,17.3
746,2006-11-13,17.39
747,2006-11-14,16.49
748,2006-11-15,16.67
749,2006-11-16,16.89
750,2006-11-17,16.56
751,2006-11-20,16.55
752,2006-11-21,15.84
753,2006-11-22,15.78
754,2006-11-23,
755,2006-11-24,16.75
756,2006-11-27,19.35
757,2006-11-28,19.14
758,2006-11-29,18.0
759,2006-11-30,18.13
760,2006-12-01,18.45
761,2006-12-04,18.15
762,2006-12-05,18.22
763,2006-12-06,18.53
764,2006-12-07,19.01
765,2006-12-08,18.78
766,2006-12-11,17.07
767,2006-12-12,16.91
768,2006-12-13,16.48
769,2006-12-14,15.58
770,2006-12-15,15.81
771,2006-12-18,16.61
772,2006-12-19,16.73
773,2006-12-20,16.47
774,2006-12-21,16.99
775,2006-12-22,17.78
776,2006-12-25,
777,2006-12-26,17.93
778,2006-12-27,16.93
779,2006-12-28,17.0
780,2006-12-29,17.72
781,2007-01-01,
782,2007-01-02,
783,2007-01-03,18.63
784,2007-01-04,18.03
785,2007-01-05,19.34
786,2007-01-08,19.43
787,2007-01-09,18.76
788,2007-01-10,18.34
789,2007-01-11,17.36
790,2007-01-12,16.38
791,2007-01-15,
792,2007-01-16,17.36
793,2007-01-17,17.61
794,2007-01-18,18.08
795,2007-01-19,17.04
796,2007-01-22,17.91
797,2007-01-23,16.92
798,2007-01-24,16.15
799,2007-01-25,17.34
800,2007-01-26,16.87
801,2007-01-29,17.6
802,2007-01-30,17.26
803,2007-01-31,16.91
804,2007-02-01,16.26
805,2007-02-02,16.14
806,2007-02-05,16.87
807,2007-02-06,16.56
808,2007-02-07,15.9
809,2007-02-08,15.74
810,2007-02-09,16.35
811,2007-02-12,16.79
812,2007-02-13,15.97
813,2007-02-14,16.13
814,2007-02-15,15.64
815,2007-02-16,14.55
816,2007-02-19,
817,2007-02-20,14.74
818,2007-02-21,14.44
819,2007-02-22,14.47
820,2007-02-23,15.03
821,2007-02-26,15.81
822,2007-02-27,22.05
823,2007-02-28,20.53
824,2007-03-01,20.98
825,2007-03-02,24.21
826,2007-03-05,26.28
827,2007-03-06,22.52
828,2007-03-07,22.14
829,2007-03-08,21.41
830,2007-03-09,20.45
831,2007-03-12,19.81
832,2007-03-13,23.37
833,2007-03-14,22.25
834,2007-03-15,20.59
835,2007-03-16,22.25
836,2007-03-19,21.32
837,2007-03-20,20.04
838,2007-03-21,18.72
839,2007-03-22,18.44
840,2007-03-23,18.52
841,2007-03-26,19.07
842,2007-03-27,19.53
843,2007-03-28,21.06
844,2007-03-29,21.09
845,2007-03-30,20.77
846,2007-04-02,20.84
847,2007-04-03,19.5
848,2007-04-04,19.24
849,2007-04-05,18.74
850,2007-04-06,
851,2007-04-09,19.9
852,2007-04-10,19.04
853,2007-04-11,19.32
854,2007-04-12,18.48
855,2007-04-13,17.49
856,2007-04-16,16.32
857,2007-04-17,16.39
858,2007-04-18,16.81
859,2007-04-19,17.61
860,2007-04-20,17.15
861,2007-04-23,17.57
862,2007-04-24,17.7
863,2007-04-25,17.71
864,2007-04-26,16.94
865,2007-04-27,16.86
866,2007-04-30,19.64
867,2007-05-01,19.11
868,2007-05-02,18.43
869,2007-05-03,18.49
870,2007-05-04,18.33
871,2007-05-07,18.69
872,2007-05-08,19.14
873,2007-05-09,18.86
874,2007-05-10,20.26
875,2007-05-11,18.71
876,2007-05-14,20.17
877,2007-05-15,20.22
878,2007-05-16,19.38
879,2007-05-17,19.77
880,2007-05-18,18.97
881,2007-05-21,18.05
882,2007-05-22,17.46
883,2007-05-23,17.96
884,2007-05-24,19.43
885,2007-05-25,18.32
886,2007-05-28,
887,2007-05-29,18.17
888,2007-05-30,18.03
889,2007-05-31,18.4
890,2007-06-01,18.51
891,2007-06-04,18.73
892,2007-06-05,18.86
893,2007-06-06,19.68
894,2007-06-07,21.64
895,2007-06-08,19.75
896,2007-06-11,18.69
897,2007-06-12,20.47
898,2007-06-13,18.48
899,2007-06-14,17.92
900,2007-06-15,18.35
901,2007-06-18,18.45
902,2007-06-19,18.1
903,2007-06-20,19.73
904,2007-06-21,19.66
905,2007-06-22,21.16
906,2007-06-25,21.87
907,2007-06-26,22.92
908,2007-06-27,21.6
909,2007-06-28,21.44
910,2007-06-29,22.56
911,2007-07-02,21.26
912,2007-07-03,20.68
913,2007-07-04,
914,2007-07-05,20.9
915,2007-07-06,19.9
916,2007-07-09,20.27
917,2007-07-10,22.19
918,2007-07-11,21.45
919,2007-07-12,20.23
920,2007-07-13,19.72
921,2007-07-16,20.65
922,2007-07-17,20.65
923,2007-07-18,20.65
924,2007-07-19,20.68
925,2007-07-20,22.63
926,2007-07-23,23.0
927,2007-07-24,25.34
928,2007-07-25,24.72
929,2007-07-26,26.85
930,2007-07-27,30.55
931,2007-07-30,27.69
932,2007-07-31,29.03
933,2007-08-01,29.68
934,2007-08-02,27.27
935,2007-08-03,31.1
936,2007-08-06,29.14
937,2007-08-07,28.13
938,2007-08-08,28.45
939,2007-08-09,33.37
940,2007-08-10,33.37
941,2007-08-13,33.66
942,2007-08-14,35.07
943,2007-08-15,37.14
944,2007-08-16,35.34
945,2007-08-17,34.35
946,2007-08-20,32.5
947,2007-08-21,30.5
948,2007-08-22,28.28
949,2007-08-23,28.14
950,2007-08-24,25.91
951,2007-08-27,28.31
952,2007-08-28,31.42
953,2007-08-29,29.51
954,2007-08-30,30.84
955,2007-08-31,29.83
956,2007-09-03,
957,2007-09-04,29.92
958,2007-09-05,32.27
959,2007-09-06,32.27
960,2007-09-07,34.33
961,2007-09-10,35.48
962,2007-09-11,33.12
963,2007-09-12,33.48
964,2007-09-13,33.23
965,2007-09-14,32.24
966,2007-09-17,34.07
967,2007-09-18,27.19
968,2007-09-19,25.24
969,2007-09-20,25.75
970,2007-09-21,24.76
971,2007-09-24,25.09
972,2007-09-25,24.77
973,2007-09-26,23.75
974,2007-09-27,23.16
975,2007-09-28,24.64
976,2007-10-01,24.07
977,2007-10-02,24.93
978,2007-10-03,25.12
979,2007-10-04,25.2
980,2007-10-05,23.09
981,2007-10-08,24.42
982,2007-10-09,23.4
983,2007-10-10,23.49
984,2007-10-11,25.48
985,2007-10-12,23.95
986,2007-10-15,25.55
987,2007-10-16,26.73
988,2007-10-17,25.45
989,2007-10-18,25.22
990,2007-10-19,31.28
991,2007-10-22,28.8
992,2007-10-23,27.56
993,2007-10-24,27.97
994,2007-10-25,28.11
995,2007-10-26,26.33
996,2007-10-29,27.03
997,2007-10-30,28.66
998,2007-10-31,25.93
999,2007-11-01,31.23
1000,2007-11-02,30.1
1001,2007-11-05,31.48
1002,2007-11-06,28.08
1003,2007-11-07,31.54
1004,2007-11-08,30.98
1005,2007-11-09,32.29
1006,2007-11-12,33.48
1007,2007-11-13,30.09
1008,2007-11-14,31.9
1009,2007-11-15,34.12
1010,2007-11-16,31.47
1011,2007-11-19,32.63
1012,2007-11-20,31.37
1013,2007-11-21,32.74
1014,2007-11-22,
1015,2007-11-23,32.48
1016,2007-11-26,35.36
1017,2007-11-27,32.29
1018,2007-11-28,30.52
1019,2007-11-29,30.4
1020,2007-11-30,29.61
1021,2007-12-03,30.96
1022,2007-12-04,30.46
1023,2007-12-05,29.37
1024,2007-12-06,27.68
1025,2007-12-07,26.85
1026,2007-12-10,27.0
1027,2007-12-11,30.13
1028,2007-12-12,29.55
1029,2007-12-13,29.43
1030,2007-12-14,30.09
1031,2007-12-17,30.44
1032,2007-12-18,28.63
1033,2007-12-19,27.57
1034,2007-12-20,26.07
1035,2007-12-21,24.31
1036,2007-12-24,24.06
1037,2007-12-25,
1038,2007-12-26,24.2
1039,2007-12-27,26.68
1040,2007-12-28,27.59
1041,2007-12-31,29.23
1042,2008-01-01,
1043,2008-01-02,29.3
1044,2008-01-03,29.46
1045,2008-01-04,30.34
1046,2008-01-07,29.83
1047,2008-01-08,31.29
1048,2008-01-09,29.68
1049,2008-01-10,28.97
1050,2008-01-11,29.91
1051,2008-01-14,29.79
1052,2008-01-15,30.02
1053,2008-01-16,30.11
1054,2008-01-17,32.5
1055,2008-01-18,31.78
1056,2008-01-21,
1057,2008-01-22,35.3
1058,2008-01-23,33.23
1059,2008-01-24,33.04
1060,2008-01-25,34.47
1061,2008-01-28,33.26
1062,2008-01-29,32.44
1063,2008-01-30,33.28
1064,2008-01-31,31.81
1065,2008-02-01,29.77
1066,2008-02-04,31.41
1067,2008-02-05,33.94
1068,2008-02-06,34.23
1069,2008-02-07,33.34
1070,2008-02-08,33.5
1071,2008-02-11,32.59
1072,2008-02-12,31.61
1073,2008-02-13,29.04
1074,2008-02-14,29.7
1075,2008-02-15,29.43
1076,2008-02-18,
1077,2008-02-19,30.0
